seed, good, bad, neutral, selection, success
3524,5,0,0,Tournament,0
3145,1,6,0,Lexicase,0
2533,1,1,0,Eco-EA,0
2354,3,0,0,Eco-EA,0
3722,2,4,0,Tournament,0
3197,1,1,0,Lexicase,0
2386,2,6,0,Eco-EA,1
3782,1,8,0,Tournament,0
2179,5,3,0,Eco-EA,1
3465,6,0,0,Tournament,0
3372,8,0,0,Tournament,0
2336,3,2,0,Eco-EA,1
3841,1,2,0,Tournament,0
3415,7,0,0,Tournament,0
2061,7,3,0,Eco-EA,1
3963,0,1,0,Tournament,0
2732,7,2,0,Lexicase,0
3246,0,7,0,Lexicase,0
3123,1,8,0,Lexicase,0
2790,6,2,0,Lexicase,0
2120,6,3,0,Eco-EA,1
3118,1,9,0,Lexicase,0
2464,1,8,0,Eco-EA,0
3498,5,3,0,Tournament,0
2832,5,3,0,Lexicase,0
3477,5,5,0,Tournament,0
2904,4,3,0,Lexicase,0
2979,3,4,0,Lexicase,0
3583,4,1,0,Tournament,0
2569,0,9,0,Eco-EA,0
2241,4,3,0,Eco-EA,1
3492,5,3,0,Tournament,0
2838,5,3,0,Lexicase,0
2455,1,9,0,Eco-EA,0
2510,1,4,0,Eco-EA,0
2563,0,9,0,Eco-EA,0
3589,4,1,0,Tournament,0
2973,3,4,0,Lexicase,0
3654,3,2,0,Tournament,0
2738,7,2,0,Lexicase,0
3969,0,1,0,Tournament,0
3129,1,8,0,Lexicase,0
3112,1,9,0,Lexicase,0
3700,2,7,0,Tournament,0
3694,2,7,0,Tournament,0
3331,9,1,0,Tournament,0
3893,0,8,0,Tournament,0
2099,7,0,0,Eco-EA,1
2547,1,0,0,Eco-EA,0
2401,2,4,0,Eco-EA,0
3131,1,7,0,Lexicase,0
3077,2,3,0,Lexicase,0
3545,4,5,0,Tournament,0
2141,6,0,0,Eco-EA,1
2626,0,3,0,Eco-EA,0
3000,3,2,0,Lexicase,0
3851,1,1,0,Tournament,0
2595,0,6,0,Eco-EA,0
3282,0,3,0,Lexicase,0
3868,1,0,0,Tournament,0
2954,3,6,0,Lexicase,0
3677,3,0,0,Tournament,0
2929,4,1,0,Lexicase,0
2476,1,7,0,Eco-EA,1
3288,0,3,0,Lexicase,0
2266,4,1,0,Eco-EA,1
3862,1,0,0,Tournament,0
2923,4,1,0,Lexicase,0
2057,8,0,0,Eco-EA,1
